id,fecha,comentario,supermercado
1,13/03/2020,Excelente,Ara
1,13/03/2020,Cuando en Santa Marta? Esperamos ampliar nuestra cobertura de domiciliosa a nivel nacional en un futuro. estamos trabajando en ello.,Ara
1,13/03/2020,Como funciona?? por favor ingresa a www.cornershopapp.com/ para más información. ? ?,Ara
1,13/03/2020,Me había emocionado ,Ara
1,13/03/2020,Hola en tulua para cuando los domicilios. Estamos trabajando en ello.esperamos hacerlo pronto.,Ara
1,13/03/2020,No me sale... la aplicación. Buen dia.por favor intentar descarga nueva desde play store.,Ara
1,13/03/2020,Estoy cerca al portal de usme y no hay cobertura!!! Esta app está disponible para Android e IOS. Aún no contamos con esa cobertura esperamos ampliar nuestra cobertura de domicilios a a nivel nacional en un futuro. estamos trabajando en ello.,Ara
1,13/03/2020,En el tintal me dice q no hay tiendas disponibles. Esta app está disponible para Android e IOS. Aún no contamos con esa cobertura esperamos ampliar nuestra cobertura de domicilios a a nivel nacional en un futuro. estamos trabajando en ello.,Ara
1,13/03/2020,Buenas tardes. el método de pago se puede en efectivo. contraentrega. Buen dia. no vecino por el momento no contamos con ese tipo de pago esperamos hacerlo pronto.,Ara
1,13/03/2020,Por favor usen otras aplicaciones para aumentar la cobertura. Cuéntanos. ¿En qué ciudad y departamento te encuentras?,Ara
2,16/03/2020,Son los mejores,Ara
2,16/03/2020,Pues la verdad ayer no encontré ni jabón liquido de manos ni gel. ademas de que las cajeras no les tienen tapabocas para su salud. Conforme a la situación tendremos presente tu comentario. ¡Saludos!,Ara
2,16/03/2020,Que horario están manejando por que fui como a las tres de la tarde y ya estaban cerrando acá en Barranquilla en el barrio la paz. por el momento el horario habitual hasta nueva orden se les estara informando.¡Saludos!,Ara
2,16/03/2020,En Barranquilla también aplica porque no encontré ninguno de los productos y también hay domicilio. Debido a la alta demanda de productos como alcohol antiséptico. gel antibacterial. y jabón líquido antibacterial. estamos vendiendo dos unidades por vecino para poder asegurar una mayor cobertura. Hemos fortalecido. de la mano de nuestros proveedores. la compra de productos específicos de mayor demanda. contamos con la capacidad logística y con un equipo de proveedores y empleados preparado para hacer frente a situaciones extraordinarias. por lo tanto está garantizado el abastecimiento de las tiendas.,Ara
2,16/03/2020,Ayer fui a comprar al ara que queda en armenia . quindio .Sede la carrera 19 frente al inter plaza . y al momento de pagar en la caja . tenia gel antibacterial y la cajera se nego a darme un poco para mis manos. ella me dijo que la iba a hacer regañar. es mi denuncia y yo se cual enpleada es... y yo le dije pues es obligacion que tengan gel antibacterial para un minimo aseo de los clientes . en almacenes como pricesmart tienen gel para uso gratis de los clientes . Muy mala politica del ara negarse a dar unas pocas gotas de gel antibacterial!. ARA ..ES ALGO ASI SE DAÑO EL SERVICIO UN GEL VALE 5 MIL PESOS PARA ELLOS DEBERIAN TENER UNA CANECA..POR QUE CAMBIO EL ARA SERVICIO Y DEMAS..POR QUE LO UNICO QUE LES INTERESA ES VENDER.. Nuestro surtido sigue siendo el mismo y todos los precios se mantienen inalterados solo en productos de alta demanda y venta atipica -como alcohol antiséptico .gel antibacterial y jabón antibacterial -estamos limitando las ventas a dos unidades por vecino para poder asegurar una mayor cobertura.,Ara
2,16/03/2020,Buenas por favor horario ara en cartagena barrio de crespo gracias. Buenas tardes. en que te podemos colaborar. gracias ara de cartagena del.barrio de crespo horario atencion y si tienen domicilios por favor numero en el que me pueda comunicar estoy atenta,Ara
2,16/03/2020,Buenas podría informarme por favor el horario de trabajo de Ara Lorica y que día le toca comprar a los que termina la cédula en 2 y 6 Gracias. ¡Hola! el horario de atención de la tienda es de 8 am a 5 pm. El dia martes 21 de abril de 8 am a 12 pm cédulas terminadas en 6. y el 24 de abril de 8 am a 12 pm cédulas terminadas 2,Ara
2,16/03/2020,Bue dia a que horas cierran al mediodia?,Ara
3,19/03/2020,Con toda parceros de Ara ????,Ara
3,19/03/2020,Y a las embarazadas?  Estamos para cuidar de los vecinos que más lo necesitan por su bienestar y el de todos! hay filas prioritarias.,Ara
3,19/03/2020,Que bien ara,Ara
