id	comentario	supermercado	fecha
1	Excelente	Ara	13/03/2020
1	Cuando en Santa Marta? Esperamos ampliar nuestra cobertura de domiciliosa a nivel nacional en un futuro estamos trabajando en ello.	Ara	13/03/2020
1	Como funciona?? por favor ingresa a www.cornershopapp.com/ para más información. ‎ ‎	Ara	13/03/2020
1	Me había emocionado 	Ara	13/03/2020
1	Hola en tulua para cuando los domicilios. Estamos trabajando en elloesperamos hacerlo pronto.	Ara	13/03/2020
1	No me sale... la aplicación. Buen diapor favor intentar descarga nueva desde play store.	Ara	13/03/2020
1	Estoy cerca al portal de usme y no hay cobertura!!! Esta app está disponible para Android e IOS. Aún no contamos con esa cobertura esperamos ampliar nuestra cobertura de domicilios a a nivel nacional en un futuro estamos trabajando en ello.	Ara	13/03/2020
1	En el tintal me dice q no hay tiendas disponibles. Esta app está disponible para Android e IOS. Aún no contamos con esa cobertura esperamos ampliar nuestra cobertura de domicilios a a nivel nacional en un futuro estamos trabajando en ello.	Ara	13/03/2020
1	Buenas tardes el método de pago se puede en efectivo contraentrega. Buen dia no vecino por el momento no contamos con ese tipo de pago esperamos hacerlo pronto.	Ara	13/03/2020
1	Por favor usen otras aplicaciones para aumentar la cobertura. Cuéntanos ¿En qué ciudad y departamento te encuentras?	Ara	13/03/2020
2	Son los mejores	Ara	16/03/2020
2	Pues la verdad ayer no encontré ni jabón liquido de manos ni gel ademas de que las cajeras no les tienen tapabocas para su salud. Conforme a la situación tendremos presente tu comentario. ¡Saludos!	Ara	16/03/2020
2	Que horario están manejando por que fui como a las tres de la tarde y ya estaban cerrando acá en Barranquilla en el barrio la paz. por el momento el horario habitual hasta nueva orden se les estara informando.¡Saludos!	Ara	16/03/2020
